PROVINCIA,EXTRANJERAS,ALUMBRAMIENTOS
Alava,54.31034483,116
Albacete,32.21884498,329
Alicante,33.90718563,1336
Almeria,34.69626168,856
Avila,50.64935065,77
Badajoz,27.05223881,536
Baleares,36.95652174,598
Barcelona,45.9137577,2435
Burgos,50.25380711,197
Caceres,20,200
Cadiz,5.661881978,1254
Castellon,43.59673025,367
Ciudad Real,30.35714286,448
Cordoba,18.798151,649
Corunha,26.31578947,323
Cuenca,52,125
Girona,50.96418733,363
Granada,12.32704403,795
Guadalajara,47.6635514,107
Guipúzcoa,54.14012739,157
Huelva,14.34262948,502
Huesca,33.60655738,122
Jaen,6.477093207,633
Leon,32.52427184,206
Lleida,42.01388889,288
LaRioja,54.76190476,168
Lugo,32.47863248,117
Madrid,42.46341463,4100
Malaga,18.73905429,1142
Murcia,35.64131669,1762
Navarra,43.53312303,317
Ourense,38,100
Asturias,26.48514851,404
Palencia,12.06896552,58
LasPalmas,18.22849807,779
Pontevedra,21.03174603,252
Salamanca,16.96969697,165
Tenerife,14.65968586,573
Cantabria,41.31736527,167
Segovia,66.36363636,110
Sevilla,15.32258065,1736
Soria,56.09756098,41
Tarragona,46.88221709,433
Teruel,72.72727273,44
Toledo,27.35426009,446
Valencia,38.32835821,1675
Valladolid,32.51533742,326
Bizkaia,32.59803922,408
Zamora,43.24324324,74
Zaragoza,50.88105727,454
Ceuta,33.33333333,123
Melilla,59.05511811,127
